trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.97}",20,0,-90.57979740474558,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.9409}",20,0,-55.28816763036364,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.2, 'e': 0.912673}",30,0,-202.4570862474361,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
4,False,"{'a': 0.2, 'e': 0.8852928099999999}",20,0,-135.16347942241848,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.8587340256999999}",35,0,-167.29211625320164,"{0: 24, 1: 0, 2: 6, 3: 3, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.8329720049289998}",25,0,-163.83502813434737,"{0: 15, 1: 1, 2: 3, 3: 5, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.8079828447811298}",30,0,-147.42368385273755,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.7837433594376959}",20,0,-108.2653231236489,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.7602310586545651}",20,0,-27.524630049389874,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.7374241268949281}",35,0,-25.159186353185,"{0: 29, 1: 0, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.2, 'e': 0.7153014030880802}",20,0,-3.651925996958308,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.2, 'e': 0.6938423609954377}",20,0,-24.529543139580397,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.6730270901655746}",20,0,-93.45285341265973,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.6528362774606074}",20,0,-119.20276675078192,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.6332511891367891}",20,0,-125.00294272380992,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.6142536534626855}",20,0,0.9571269753102021,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.2, 'e': 0.5958260438588049}",25,17,13.601518309282895,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.2, 'e': 0.5779512625430407}",25,0,-56.00166609503676,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.5606127246667495}",25,0,-179.72009650683776,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
20,False,"{'a': 0.2, 'e': 0.543794342926747}",20,0,-48.83900606302548,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
21,False,"{'a': 0.2, 'e': 0.5274805126389446}",25,0,-31.539011388268914,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.2, 'e': 0.5116560972597762}",30,0,-154.89124670016315,"{0: 19, 1: 3, 2: 3, 3: 3, 4: 2}",0
23,False,"{'a': 0.2, 'e': 0.49630641434198286}",20,0,-148.79383811861982,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
24,False,"{'a': 0.2, 'e': 0.48141722191172337}",25,0,-24.93084925184588,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.2, 'e': 0.4669747052543717}",25,0,-46.015183341775455,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.2, 'e': 0.4529654640967405}",20,0,12.362335173936088,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.2, 'e': 0.4393765001738383}",30,0,1.8535865583104671,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.42619520516862314}",20,10,-4.363732271264708,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.2, 'e': 0.4134093490135644}",25,20,8.014709108392069,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.2, 'e': 0.4010070685431575}",20,0,-14.277773303348656,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
31,False,"{'a': 0.2, 'e': 0.38897685648686275}",20,3,-36.215339073152236,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.2, 'e': 0.37730755079225686}",20,0,-13.55266798938707,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.2, 'e': 0.36598832426848915}",20,2,-16.71129154258353,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.2, 'e': 0.35500867454043444}",20,0,-17.228601297674658,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
35,False,"{'a': 0.2, 'e': 0.3443584143042214}",20,12,-17.402108092979873,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
36,False,"{'a': 0.2, 'e': 0.33402766187509475}",25,0,-102.25443217827757,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
37,False,"{'a': 0.2, 'e': 0.3240068320188419}",25,0,26.602460722668393,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.2, 'e': 0.31428662705827665}",20,9,-11.265834634453238,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.2, 'e': 0.30485802824652836}",20,11,4.177893152207316,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.2, 'e': 0.29571228739913247}",20,0,-57.803176277102935,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
41,False,"{'a': 0.2, 'e': 0.2868409187771585}",20,0,-45.6629375115903,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
42,False,"{'a': 0.2, 'e': 0.2782356912138437}",25,6,-86.46013403793029,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 1}",1
43,False,"{'a': 0.2, 'e': 0.2698886204774284}",25,12,13.460487531836941,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.26179196186310555}",20,1,-3.058194815805279,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.2, 'e': 0.25393820300721237}",25,0,15.300293329448138,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.2, 'e': 0.246320056916996}",30,0,1.4167482334248105,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
47,False,"{'a': 0.2, 'e': 0.2389304552094861}",25,0,10.837291095213615,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.2, 'e': 0.23176254155320153}",20,13,-6.552326452841138,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.2, 'e': 0.22480966530660546}",25,14,14.893819585254215,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.2, 'e': 0.2180653753474073}",20,0,-34.556717596380906,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.2, 'e': 0.21152341408698508}",25,15,17.33547907806923,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.2, 'e': 0.2051777116643755}",30,0,12.67911487891259,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.2, 'e': 0.19902238031444425}",25,13,-14.115215270163928,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.2, 'e': 0.19305170890501092}",20,6,-27.247850871688012,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.2, 'e': 0.18726015763786058}",25,10,-21.89740216487234,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.2, 'e': 0.18164235290872474}",25,16,3.623840550775867,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.176193082321463}",20,3,25.925092600727485,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.2, 'e': 0.1709072898518191}",30,18,23.447364461380165,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.16578007115626453}",30,8,11.974903386680843,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
