trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.8666830258004,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.48415913075567,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.25231472499166,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,9,-81.59518726833616,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.98156663689096,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-244.15093149879826,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 5}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.51056643222913,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.1756815578679,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.64230096947079,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.42612037286482,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.68098841996397,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.33588971660295,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.38172924872842,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.78430030766532,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.510049311137,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.42988498779746,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-69.58318431909062,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.32115021336486,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-236.05426782063202,"{0: 11, 1: 2, 2: 8, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.70156261902767,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.47824729290224,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-206.04390810000834,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.20676774017335,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.15514970039993,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.06247100258162,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-180.07562129815915,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-227.2859669771215,"{0: 19, 1: 0, 2: 5, 3: 2, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.59427771116623,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.359215317952,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.6547094826026,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
