trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.97}",25,0,-236.22985606800918,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
2,False,"{'a': 0.2, 'e': 0.9409}",25,0,-11.219532045376871,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.2, 'e': 0.912673}",20,0,-80.78550244271962,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.8852928099999999}",20,0,-181.93848404708007,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.2, 'e': 0.8587340256999999}",20,0,-183.64411965075564,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.2, 'e': 0.8329720049289998}",30,0,-142.0864417714339,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.2, 'e': 0.8079828447811298}",25,0,-41.56973955674957,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.2, 'e': 0.7837433594376959}",35,0,-133.32479791839862,"{0: 26, 1: 2, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.7602310586545651}",30,0,-98.52577320834465,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.2, 'e': 0.7374241268949281}",20,0,-48.465332736238906,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.7153014030880802}",20,0,-13.995134882762574,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.2, 'e': 0.6938423609954377}",30,0,-112.90676036050239,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.6730270901655746}",25,0,-86.40160552439426,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.6528362774606074}",20,0,-90.56935397133037,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
15,False,"{'a': 0.2, 'e': 0.6332511891367891}",20,0,-49.739100501442074,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.6142536534626855}",25,0,-76.57948740439832,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.5958260438588049}",20,0,-115.27745917494335,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.2, 'e': 0.5779512625430407}",30,0,-35.830052165824405,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.2, 'e': 0.5606127246667495}",25,6,5.09937864963319,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.2, 'e': 0.543794342926747}",25,0,-69.76851291659742,"{0: 17, 1: 3, 2: 2, 3: 3, 4: 0}",0
21,False,"{'a': 0.2, 'e': 0.5274805126389446}",20,0,-19.343220125337286,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
22,False,"{'a': 0.2, 'e': 0.5116560972597762}",20,13,-19.874204039988495,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
23,False,"{'a': 0.2, 'e': 0.49630641434198286}",20,0,-59.039677699194286,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.2, 'e': 0.48141722191172337}",20,13,-10.51513090772875,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.2, 'e': 0.4669747052543717}",20,5,-60.52108937095868,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
26,False,"{'a': 0.2, 'e': 0.4529654640967405}",20,0,27.37246923305583,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.2, 'e': 0.4393765001738383}",25,0,-48.367712843509445,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
28,False,"{'a': 0.2, 'e': 0.42619520516862314}",20,13,-1.7727841831145623,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.2, 'e': 0.4134093490135644}",25,0,-39.4663387928916,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
30,False,"{'a': 0.2, 'e': 0.4010070685431575}",25,6,18.67681594436992,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.2, 'e': 0.38897685648686275}",20,1,-76.66465862146556,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
