trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.9}",25,0,-198.3848782011025,"{0: 10, 1: 3, 2: 9, 3: 1, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.81}",20,0,-179.408132249672,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.2, 'e': 0.7290000000000001}",30,0,-147.85080637398346,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.6561}",30,8,-145.35222681715362,"{0: 10, 1: 0, 2: 10, 3: 1, 4: 1}",1
5,False,"{'a': 0.2, 'e': 0.5904900000000001}",20,0,-172.60115381117814,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.2, 'e': 0.531441}",20,0,-202.97473545844724,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
7,False,"{'a': 0.2, 'e': 0.4782969000000001}",20,0,-121.60937049291437,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.4304672100000001}",30,0,-153.13883333813803,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.3874204890000001}",25,0,-156.08622858137988,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",1
10,False,"{'a': 0.2, 'e': 0.3486784401000001}",25,0,-159.66727731762703,"{0: 9, 1: 6, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.31381059609000006}",20,0,-117.19631279052311,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.2824295364810001}",30,0,-80.08022091475121,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.2541865828329001}",25,0,-72.53470472161683,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.2287679245496101}",20,7,-41.21094064041239,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.20589113209464907}",20,0,-111.10100459461707,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.18530201888518416}",20,0,-99.9156131826962,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
17,False,"{'a': 0.2, 'e': 0.16677181699666577}",30,0,-129.2911901146428,"{0: 15, 1: 4, 2: 9, 3: 2, 4: 0}",0
