trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.97}",25,0,-155.47141605980497,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.9409}",30,0,-156.38252524680934,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.912673}",25,0,-194.60503907043545,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.2, 'e': 0.8852928099999999}",20,3,-67.61709415783719,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.2, 'e': 0.8587340256999999}",25,0,-143.05696322665568,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.8329720049289998}",35,0,-150.89046512920885,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.2, 'e': 0.8079828447811298}",20,0,-62.930275554079564,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.7837433594376959}",20,0,-114.42960814402466,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.7602310586545651}",20,0,-96.29274932203684,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.7374241268949281}",20,0,-94.07624128627737,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.7153014030880802}",30,0,-126.85236754406509,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.6938423609954377}",20,0,-53.53597944336165,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.6730270901655746}",25,0,-65.38386618732285,"{0: 18, 1: 3, 2: 1, 3: 3, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.6528362774606074}",20,0,-71.15890159786332,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.6332511891367891}",25,0,-148.27089543825605,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.2, 'e': 0.6142536534626855}",20,0,-220.20531488717106,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
17,False,"{'a': 0.2, 'e': 0.5958260438588049}",25,0,-76.13559337403531,"{0: 15, 1: 6, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.5779512625430407}",25,0,-126.96345121839516,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.5606127246667495}",30,0,-152.61335033421588,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
20,False,"{'a': 0.2, 'e': 0.543794342926747}",25,0,-184.94665727094522,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,4,-39.178381736107596,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-136.1980154770519,"{0: 14, 1: 0, 2: 1, 3: 3, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",35,0,-208.59068064058403,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-192.75913631621287,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-36.613423274533005,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-141.64820245691863,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-146.2591429725485,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-124.53055378152295,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",30,0,-184.40565063859987,"{0: 16, 1: 4, 2: 4, 3: 5, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-94.47331562014062,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
